Año;Periodo;Parámetro;Encuesta de ocupación
2023;Trimestre 3;Andalucía;-3,8
2023;Trimestre 3;Aragón;2
2023;Trimestre 3;Asturias;-1,1
2023;Trimestre 3;Canarias;-1,3
2023;Trimestre 3;Cantabria;4,3
2023;Trimestre 3;Castilla y León;9
2023;Trimestre 3;Castilla-La Mancha;11,9
2023;Trimestre 3;Cataluña;62,4
2023;Trimestre 3;Ceuta;0,9
2023;Trimestre 3;Comunidad Valenciana;80,7
2023;Trimestre 3;Extremadura;5,1
2023;Trimestre 3;Galicia;14,2
2023;Trimestre 3;Islas Baleares;35,2
2023;Trimestre 3;La Rioja;-0,9
2023;Trimestre 3;Madrid;-15,7
2023;Trimestre 3;Melilla;-0,1
2023;Trimestre 3;Murcia;6,2
2023;Trimestre 3;Navarra;2,8
2023;Trimestre 3;País Vasco;-2,8
